,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,directors,writers,title,firstActor,actorCategory,newRating,primaryName,keys,show_title
0,tt0111161,The Shawshank Redemption,1994,142,Drama,9.3,2653301,FrankDarabont,StephenKing,Les Évadés,Tim Robbins,actor,9.270317003204644,TimRobbins MorganFreeman BobGunton WilliamSadler,drama frankdarabont stephenking timrobbins morganfreeman bobgunton williamsadler,Les Évadés (1994)
1,tt0068646,The Godfather,1972,175,CrimeDrama,9.2,1839236,FrancisFordCoppola,MarioPuzo,Le Parrain,Marlon Brando,actor,9.158696216573437,MarlonBrando AlPacino JamesCaan DianeKeaton,crimedrama francisfordcoppola mariopuzo marlonbrando alpacino jamescaan dianekeaton,Le Parrain (1972)
2,tt0468569,The Dark Knight,2008,152,ActionCrimeDrama,9.0,2625660,ChristopherNolan,JonathanNolan,The Dark Knight : Le Chevalier noir,Christian Bale,actor,8.972836953815275,ChristianBale HeathLedger AaronEckhart MichaelCaine,actioncrimedrama christophernolan jonathannolan christianbale heathledger aaroneckhart michaelcaine,The Dark Knight : Le Chevalier noir (2008)
3,tt0167260,The Lord of the Rings: The Return of the King,2003,201,ActionAdventureDrama,9.0,1829009,PeterJackson,J.R.R.Tolkien,Le Seigneur des anneaux : Le Retour du roi,Elijah Wood,actor,8.961165237061957,ElijahWood ViggoMortensen IanMcKellen OrlandoBloom,actionadventuredrama peterjackson j.r.r.tolkien elijahwood viggomortensen ianmckellen orlandobloom,Le Seigneur des anneaux : Le Retour du roi (2003)
4,tt0108052,Schindler's List,1993,195,BiographyDramaHistory,9.0,1344428,StevenSpielberg,ThomasKeneally,La liste de Schindler,Liam Neeson,actor,8.947423303744337,LiamNeeson RalphFiennes BenKingsley CarolineGoodall,biographydramahistory stevenspielberg thomaskeneally liamneeson ralphfiennes benkingsley carolinegoodall,La liste de Schindler (1993)
5,tt0071562,The Godfather Part II,1974,202,CrimeDrama,9.0,1260209,FrancisFordCoppola,FrancisFordCoppola,"Le Parrain, 2ᵉ partie",Al Pacino,actor,8.943977983347455,AlPacino RobertDeNiro RobertDuvall DianeKeaton,crimedrama francisfordcoppola francisfordcoppola alpacino robertdeniro robertduvall dianekeaton,"Le Parrain, 2ᵉ partie (1974)"
6,tt0050083,12 Angry Men,1957,96,CrimeDrama,9.0,783443,SidneyLumet,ReginaldRose,Douze Hommes en colère,Henry Fonda,actor,8.910939917842075,HenryFonda LeeJ.Cobb MartinBalsam JohnFiedler,crimedrama sidneylumet reginaldrose henryfonda leej.cobb martinbalsam johnfiedler,Douze Hommes en colère (1957)
7,tt0110912,Pulp Fiction,1994,154,CrimeDrama,8.9,2030998,QuentinTarantino,QuentinTarantino,Pulp Fiction,John Travolta,actor,8.866196465171658,JohnTravolta UmaThurman SamuelL.Jackson BruceWillis,crimedrama quentintarantino quentintarantino johntravolta umathurman samuell.jackson brucewillis,Pulp Fiction (1994)
8,tt1375666,Inception,2010,148,ActionAdventureSci-Fi,8.8,2327044,ChristopherNolan,ChristopherNolan,Inception,Leonardo DiCaprio,actor,8.771514138340951,LeonardoDiCaprio JosephGordon-Levitt ElliotPage KenWatanabe,actionadventuresci-fi christophernolan christophernolan leonardodicaprio josephgordon-levitt elliotpage kenwatanabe,Inception (2010)
9,tt0137523,Fight Club,1999,139,Drama,8.8,2098525,DavidFincher,ChuckPalahniuk,Fight Club,Brad Pitt,actor,8.768448687912786,BradPitt EdwardNorton MeatLoaf ZachGrenier,drama davidfincher chuckpalahniuk bradpitt edwardnorton meatloaf zachgrenier,Fight Club (1999)
10,tt0109830,Forrest Gump,1994,142,DramaRomance,8.8,2055327,RobertZemeckis,WinstonGroom,Forrest Gump,Tom Hanks,actor,8.767793524767981,TomHanks RobinWright GarySinise SallyField,dramaromance robertzemeckis winstongroom tomhanks robinwright garysinise sallyfield,Forrest Gump (1994)
11,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,ActionAdventureDrama,8.8,1856826,PeterJackson,J.R.R.Tolkien,Le Seigneur des anneaux : La Communauté de l'anneau,Elijah Wood,actor,8.764396283184524,ElijahWood IanMcKellen OrlandoBloom SeanBean,actionadventuredrama peterjackson j.r.r.tolkien elijahwood ianmckellen orlandobloom seanbean,Le Seigneur des anneaux : La Communauté de l'anneau (2001)
12,tt0167261,The Lord of the Rings: The Two Towers,2002,179,ActionAdventureDrama,8.8,1651543,PeterJackson,J.R.R.Tolkien,Le Seigneur des anneaux : Les Deux Tours,Elijah Wood,actor,8.760036813848497,ElijahWood IanMcKellen ViggoMortensen OrlandoBloom,actionadventuredrama peterjackson j.r.r.tolkien elijahwood ianmckellen viggomortensen orlandobloom,Le Seigneur des anneaux : Les Deux Tours (2002)
13,tt0060196,"The Good, the Bad and the Ugly",1966,161,AdventureWestern,8.8,756859,SergioLeone,LucianoVincenzoni,"Le Bon, la brute et le truand",Clint Eastwood,actor,8.714306799563605,ClintEastwood EliWallach LeeVanCleef AldoGiuffrè,adventurewestern sergioleone lucianovincenzoni clinteastwood eliwallach leevancleef aldogiuffrè,"Le Bon, la brute et le truand (1966)"
14,tt0133093,The Matrix,1999,136,ActionSci-Fi,8.7,1896904,LanaWachowski,LillyWachowski,Matrix,Keanu Reeves,actor,8.666439530798623,KeanuReeves LaurenceFishburne Carrie-AnneMoss HugoWeaving,actionsci-fi lanawachowski lillywachowski keanureeves laurencefishburne carrie-annemoss hugoweaving,Matrix (1999)
15,tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,ActionAdventureFantasy,8.7,1281945,IrvinKershner,LeighBrackett,Star Wars: Épisode V - L'Empire contre-attaque,Mark Hamill,actor,8.650648267524646,MarkHamill HarrisonFord CarrieFisher BillyDeeWilliams,actionadventurefantasy irvinkershner leighbrackett markhamill harrisonford carriefisher billydeewilliams,Star Wars: Épisode V - L'Empire contre-attaque (1980)
16,tt0099685,Goodfellas,1990,145,BiographyCrimeDrama,8.7,1149674,MartinScorsese,NicholasPileggi,Les affranchis,Robert De Niro,actor,8.645091148693169,RobertDeNiro RayLiotta JoePesci LorraineBracco,biographycrimedrama martinscorsese nicholaspileggi robertdeniro rayliotta joepesci lorrainebracco,Les affranchis (1990)
17,tt0073486,One Flew Over the Cuckoo's Nest,1975,133,Drama,8.7,1001536,MilosForman,LawrenceHauben,Vol au-dessus d'un nid de coucou,Jack Nicholson,actor,8.63716732778977,JackNicholson LouiseFletcher MichaelBerryman PeterBrocco,drama milosforman lawrencehauben jacknicholson louisefletcher michaelberryman peterbrocco,Vol au-dessus d'un nid de coucou (1975)
18,tt15097216,Jai Bhim,2021,164,CrimeDramaMystery,8.9,199851,T.J.Gnanavel,T.J.Gnanavel,Jai Bhim,Suriya,actor,8.590906422475328,Suriya LijoMolJose ManikandanK. RajishaVijayan,crimedramamystery t.j.gnanavel t.j.gnanavel suriya lijomoljose manikandank. rajishavijayan,Jai Bhim (2021)
19,tt0816692,Interstellar,2014,169,AdventureDramaSci-Fi,8.6,1797952,ChristopherNolan,JonathanNolan,Interstellar,Matthew McConaughey,actor,8.565989230654454,MatthewMcConaughey AnneHathaway JessicaChastain MackenzieFoy,adventuredramasci-fi christophernolan jonathannolan matthewmcconaughey annehathaway jessicachastain mackenziefoy,Interstellar (2014)
20,tt0114369,Se7en,1995,127,CrimeDramaMystery,8.6,1634257,DavidFincher,AndrewKevinWalker,Seven,Morgan Freeman,actor,8.562633877693449,MorganFreeman BradPitt KevinSpacey AndrewKevinWalker,crimedramamystery davidfincher andrewkevinwalker morganfreeman bradpitt kevinspacey andrewkevinwalker,Seven (1995)
21,tt0102926,The Silence of the Lambs,1991,118,CrimeDramaThriller,8.6,1418973,JonathanDemme,ThomasHarris,Le Silence des agneaux,Jodie Foster,actress,8.557062909071014,JodieFoster AnthonyHopkins LawrenceA.Bonney KasiLemmons,crimedramathriller jonathandemme thomasharris jodiefoster anthonyhopkins lawrencea.bonney kasilemmons,Le Silence des agneaux (1991)
